name,url,original_url,channel_type,country,is_active,note
18 East,https://www.18east.co,https://18east.co/collections/all,unknown,,True,
baloriginal,https://global.baloriginal.com,https://global.baloriginal.com/collections/all-products,unknown,,True,
COVERCHORD,https://www.coverchord.com,https://coverchord.com/pages/men,unknown,,True,
Guerrilla-Group,https://www.guerrilla-group.co,https://www.guerrilla-group.co/collections/dir-all?page=3,unknown,,True,
Maharishi,https://www.maharishistore.com,https://www.maharishistore.com/collections/sale,unknown,,True,
grounds,https://kr.grounds-fw.com,https://kr.grounds-fw.com/products/orca-x-undercover-01db,unknown,KR,True,
APPLIXY 어플릭시,https://www.applixy.com,https://applixy.com/product/detail.html?product_no=10308&cate_no=82&display_group=1,unknown,,True,
AFB,https://www.afb-afb-afb.com,https://afb-afb-afb.com/products/afb25ss1,unknown,,True,
Blue Monte,https://www.bluemonte.store,https://bluemonte.store/collections/all/products/,unknown,,True,
Stone Island,https://www.stoneisland.com,https://www.stoneisland.com/ko-kr/collection/아우터웨어,unknown,,True,
PALACE SKATEBOARDS,https://shop.palaceskateboards.com,,unknown,,True,
FASCINATE,https://www.fascinate-online.com,https://fascinate-online.com/search/?campaignType=1,unknown,,True,
D-R-G-N,https://family.d-r-g-n.com,https://family.d-r-g-n.com/collections/2026-new/products/pit_viper_boxy_hoodie_dgld,unknown,,True,
ARKnets,https://www.arknets.co.jp,https://www.arknets.co.jp/brand/B1561/,unknown,JP,True,
Attic ONLINE STORE,https://www.attic-sendai.com,https://attic-sendai.com/ko/collections/all-item?page=2,unknown,,True,
FLATLIST EYEWEAR,https://www.flatlisteyewear.com,https://flatlisteyewear.com/collections/olympia,unknown,,True,
HOUSE OF ERRORS,https://www.houseoferrors.org,https://www.houseoferrors.org/products/birds-eye-view-cardigan,unknown,,True,
The Real McCoy's,https://www.therealmccoys.jp,https://therealmccoys.jp/products/mj24103/030-blk#size_guide,unknown,,True,
cornelian taurus by daisuke iwanaga,https://www.corneliantaurus.com,https://www.corneliantaurus.com/collections/all?page=1,unknown,,True,
UNDERCOVER 가나자와,https://undercoverk.theshop.jp,https://undercoverk.theshop.jp/items/108229990,unknown,,True,
PICANTE,https://www.picante.shop,https://www.picante.shop/collections/outerwear,unknown,,True,
NUBIAN TOKYO,https://www.nubiantokyo.com,https://nubiantokyo.com/collections/pdf/,unknown,,True,
WACKO MARIA 오사카 취급 TINY OSAKA,https://www.tinyworld.jp,https://www.tinyworld.jp/?mode=cate&cbid=2134171&csid=0&sort=n,unknown,,True,
ANACHRONORM,https://www.anachronorm.jp,https://anachronorm.jp/ko/collections/bottoms?page=2,unknown,,True,
TUNE.KR,https://www.tune.kr,https://tune.kr/collections/new-arrivals,unknown,,True,
KARMUEL YOUNG,https://www.karmuelyoung.com,https://karmuelyoung.com/products/brown-2-way-pocket-goat-leather-jacket,unknown,,True,
ANNMS Shop,https://www.annmsshop.com,https://annmsshop.com/collections/new/tops,unknown,,True,
LU'U DAN,https://www.luu-dan.com,https://luu-dan.com/collections/year-of-the-horse/products/oversized-hoodie-vintage-black,unknown,,True,
hideandseekStore,https://www.hideandseekstore.com,https://www.hideandseekstore.com/products/m25c02pt02c-organic-cotton-13-5oz-selvedge-denim-cocoon-fit-jeans,unknown,,True,
BAYCREW'S STORE,https://www.baycrews.jp,https://baycrews.jp/item/detail/journalstandard/pants/25030610009130,department-store,,True,검토 필요
F/CE ONLINE STORE,https://www.fce-store.com,https://fce-store.com/items?pg=6,unknown,,True,
Camperlab,https://www.camperlab.com,https://www.camperlab.com/en_ES/men/shoes/all_shoes_lab_men,unknown,,True,
슈피겐,https://www.spigen.co.kr,https://spigen.co.kr/product/detail.html?product_no=1519&cate_no=139,non-fashion,KR,True,검토 필요
